title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
雷達液體電蚊香重裝超值組-無香精無染料41mlx4;日用生活;374,0;雷達;規格：41ml毫升x4x1Box盒;雷達液體電蚊香無味重裝4入;394,0;1;41,0;36,0;1480;5.08%;1;11073902001;ambiguous_master_match_resolved_with_order_history;2;2;ml;4;box;93,5;98,5;5,076142;volume;month;5,08;1,0;35,0;31,0;13,0;3,13;12,0;487,0
雷達佳兒護液體電蚊香薰衣草重裝45*2ML;日用生活;239,0;雷達;規格：45ml毫升x2x1PC盒;雷達佳兒護液體電蚊香重裝;245,0;1;45,0;36,0;1484;2.45%;0;11073907001;unique_master_match;1;1;ml;2;pc;119,5;122,5;2,44898;volume;month;2,45;0,0;26,0;24,0;13,0;3,0;12,0;349,0
【安心價】優品木之薈樟腦油-噴式;日用生活;149,0;優品;規格：525ml毫升x1x1Bottle瓶;優品木之薈樟腦油-噴式 優品木之薈樟腦;0,0;1;525,0;60,0;1496;0.00%;0;11074012001;unique_master_match;1;1;ml;1;bottle;149,0;0,0;0,0;volume;month;0,0;0,0;30,0;24,0;26,0;7,46;12,0;24,0
【安心價】優品木之薈樟腦油-補充瓶-525ml;日用生活;139,0;優品;規格：525ml毫升x1x1Bottle瓶;優品木之薈樟腦油-補充瓶;0,0;1;525,0;60,0;1506;0.00%;0;11074022001;unique_master_match;1;1;ml;1;bottle;139,0;0,0;0,0;volume;month;0,0;0,0;31,0;23,0;23,0;7,2;12,0;10,0
【安心價】優品森之萃香茅油-噴槍;日用生活;149,0;優品;規格：525ml毫升x1x1Bottle瓶;優品森之萃香茅油-噴槍;0,0;1;525,0;60,0;1509;0.00%;1;11074027001;unique_master_match;1;1;ml;1;bottle;149,0;0,0;0,0;volume;month;0,0;1,0;30,0;24,0;26,0;7,54;12,0;35,0
【安心價】優品森之萃香茅油-補充瓶-525ml;日用生活;149,0;優品;規格：525ml毫升x1x1Bottle瓶;優品森之萃香茅油-補充瓶;0,0;1;525,0;60,0;1513;0.00%;1;11074031001;unique_master_match;1;1;ml;1;bottle;149,0;0,0;0,0;volume;month;0,0;1,0;31,0;23,0;23,0;7,17;12,0;48,0
叮寧有機精油小黑蚊防蚊液-Baby-80ml;日用生活;300,0;叮寧;規格：80ml毫升x1x1Bottle瓶;叮寧小黑蚊防蚊液;0,0;1;80,0;48,0;1550;0.00%;0;11076883001;unique_master_match;1;1;ml;1;bottle;300,0;0,0;0,0;volume;month;0,0;0,0;19,0;15,0;17,0;1,72;12,0;62,0
叮嚀柚香長效防蚊液-可倒噴;日用生活;219,0;叮寧;規格：120ml毫升x1x1Bottle瓶;叮嚀柚香長效防蚊液-可倒噴 防蚊液可倒噴;0,0;1;120,0;48,0;1551;0.00%;0;11076886001;unique_master_match;1;1;ml;1;bottle;219,0;0,0;0,0;volume;month;0,0;0,0;19,0;14,0;16,0;1,94;12,0;24,0
叮嚀柚香長效防蚊液-可倒噴;日用生活;219,0;叮寧;規格：120ml毫升x1x1Bottle瓶;叮嚀清新長效防蚊液;0,0;1;120,0;48,0;1554;0.00%;0;11076890001;unique_master_match;1;1;ml;1;bottle;219,0;0,0;0,0;volume;month;0,0;0,0;17,0;13,0;16,0;1,92;12,0;45,0
叮嚀柚香長效防蚊液-可倒噴;日用生活;219,0;叮寧;規格：120ml毫升x1x1Bottle瓶;綠油精叮寧防蚊液;0,0;1;120,0;48,0;1558;0.00%;0;11076896001;unique_master_match;1;1;ml;1;bottle;219,0;0,0;0,0;volume;month;0,0;0,0;18,0;13,0;19,0;2,24;12,0;47,0
