title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
OP花香分解袋(中)-薰衣草;日用生活;69,0;OP;規格：1Pack包x1x1PACK包;OP花香環保袋(中);75,0;1;1,0;999,0;9392;8.00%;1;31501903003;ambiguous_master_match_resolved_with_order_history;3;3;pack;1;pack;69,0;75,0;8,0;count;month;8,0;1,0;45,0;26,0;29,0;14,35;30,0
驅塵氏抗蟑防蠅清潔袋(中);日用生活;55,0;驅塵氏;規格：1PC個x1x1PC個;驅塵氏抗蟑防蠅清潔袋(中);79,0;1;1,0;999,0;9393;30.38%;1;31501904001;unique_master_match;1;1;pc;1;pc;55,0;79,0;30,37974683544304;count;month;30,38;1,0;44,0;28,0;16,0;7,56;20,0
輕時代花香清潔袋(中)-薰衣草;日用生活;49,0;輕時代;規格：1PC個x1x1PC個;輕時代花香清潔袋(中);72,0;1;1,0;120,0;9395;31.94%;1;31501907002;ambiguous_master_match_resolved_with_order_history;2;2;pc;1;pc;49,0;72,0;31,944444444444443;count;month;31,94;1,0;48,0;22,0;31,0;15,1;30,0
【垃圾袋】環保生活家清潔袋(大)-63x75cm(45L);日用生活;49,0;;規格：1PC包x1x1PC包;環保生活家清潔袋(大);59,0;1;1,0;60,0;9396;16.95%;1;31502003001;unique_master_match;1;1;pc;1;pc;49,0;59,0;16,94915254237288;count;month;16,95;1,0;28,0;28,0;34,0;23,0;30,0
可家芬抗蟑驅蠅清潔袋(大);日用生活;69,0;可家芬;規格：1Pack包x1x1Pack包;可家芬抗蟑驅蠅清潔袋(大);99,0;1;1,0;120,0;9397;30.30%;1;31502006001;unique_master_match;1;1;pack;1;pack;69,0;99,0;30,303030303030305;count;month;30,3;1,0;42,0;33,0;25,0;10,9;24,0
妙潔新防漏大師清潔袋-特小;日用生活;105,0;妙潔;規格：168PC張x1x1Set組;妙潔新防漏大師清潔袋--大;142,0;1;168,0;60,0;9399;26.06%;1;31502010001;unique_master_match;1;1;pc;1;set;105,0;142,0;26,056338028169012;count;month;26,06;1,0;54,0;22,0;19,0;9,97;15,0
可家芬抗蟑驅蠅清潔袋(大);日用生活;69,0;可家芬;規格：1Pack包x1x1Pack包;可家芬平底清潔袋(大);99,0;1;1,0;120,0;9400;30.30%;1;31502012001;unique_master_match;1;1;pack;1;pack;69,0;99,0;30,303030303030305;count;month;30,3;1,0;46,0;27,0;24,0;12,5;20,0
楓康環保實心垃圾袋(大);日用生活;69,0;楓康;規格：60PC張x1x1Pack包;楓康環保實心垃圾袋 (大);99,0;1;60,0;120,0;9401;30.30%;1;31502015001;unique_master_match;1;1;pc;1;pack;69,0;99,0;30,303030303030305;count;month;30,3;1,0;;;;;
家簡塵除香氛清潔袋 大;日用生活;59,0;家簡塵除;規格：1Pack包x1x1Pack包;家簡塵除香氛清潔袋 大;79,0;1;1,0;120,0;9403;25.32%;1;31502022001;ambiguous_master_match_resolved_with_order_history;2;2;pack;1;pack;59,0;79,0;25,31645569620253;count;month;25,32;1,0;;;;;
【垃圾袋】家簡塵除防漏環保清潔袋-大 3捲入;日用生活;59,0;家簡塵除;規格：1Pack包x1x1Pack包;家簡塵除防漏環保清潔袋-大;79,0;1;1,0;120,0;9404;25.32%;0;31502023001;unique_master_match;1;1;pack;1;pack;59,0;79,0;25,31645569620253;count;month;25,32;0,0;;;;;
驅塵氏香氛清潔袋(大)-檸檬香;日用生活;55,0;驅塵氏;規格：1PC包x1x1PC包;驅塵氏香氛清潔袋(大);65,0;1;1,0;120,0;9407;15.38%;1;31502032004;ambiguous_master_match_resolved_with_order_history;2;1;pc;1;pc;55,0;65,0;15,384615384615385;count;month;15,38;1,0;42,0;28,0;19,0;7,61;20,0
OP花香分解袋(大)-檸檬;日用生活;69,0;OP;規格：1Pack包x1x1PACK包;OP花香環保袋(大);75,0;1;1,0;999,0;9410;8.00%;1;31502034001;ambiguous_master_match_resolved_with_order_history;3;3;pack;1;pack;69,0;75,0;8,0;count;month;8,0;1,0;47,0;20,0;35,0;15,21;30,0
驅塵氏抗蟑防蠅清潔袋(大);日用生活;55,0;驅塵氏;規格：1PC個x1x1PC個;驅塵氏抗蟑防蠅清潔袋(大);79,0;1;1,0;999,0;9411;30.38%;1;31502037001;unique_master_match;1;1;pc;1;pc;55,0;79,0;30,37974683544304;count;month;30,38;1,0;40,0;29,0;19,0;7,6;20,0
輕時代花香清潔袋(大)<薰衣草>;日用生活;49,0;;規格：1PC個x1x1PC個;輕時代花香清潔袋(大);72,0;1;1,0;999,0;9413;31.94%;1;31502041001;ambiguous_master_match_resolved_with_order_history;2;2;pc;1;pc;49,0;72,0;31,944444444444443;count;month;31,94;1,0;51,0;19,0;36,0;15,1;30,0
妙潔透明清潔袋(特大)70公升;日用生活;59,0;妙潔;規格：1Pack包x1x1Pack包;妙潔透明清潔袋(特大);75,0;1;1,0;999,0;9415;21.33%;0;31503003001;unique_master_match;1;1;pack;1;pack;59,0;75,0;21,333333333333336;count;month;21,33;0,0;51,0;25,0;23,0;8,1;24,0
【垃圾袋】台塑抽取清潔袋(超特大) 125L-黑色;日用生活;289,0;台塑;規格：1PC個x1x1PC個;台塑清潔袋(超特大) 125L;0,0;1;1,0;999,0;9423;0.00%;1;31504015001;unique_master_match;1;1;pc;1;pc;289,0;0,0;0,0;count;month;0,0;1,0;34,0;26,0;29,0;10,2;6,0
大玫瑰紙林(顏色隨機出貨);日用生活;75,0;;規格：1PC個x1x1PC個;大玫瑰紙弄;79,0;1;1,0;999,0;9424;5.06%;1;31510009001;unique_master_match;1;1;pc;1;pc;75,0;79,0;5,063291139240507;count;month;5,06;1,0;;;;;
大玫瑰紙林(顏色隨機出貨);日用生活;75,0;;規格：1PC個x1x1PC個;中玫瑰紙弄;79,0;1;1,0;999,0;9425;5.06%;0;31510010001;unique_master_match;1;1;pc;1;pc;75,0;79,0;5,063291139240507;count;month;5,06;0,0;;;;;
居家水桶12L(顏色隨機出貨);日用生活;59,0;;規格：1PC個x1x1PC個;居家水桶 12L;0,0;1;1,0;999,0;9426;0.00%;1;31521003001;unique_master_match;1;1;pc;1;pc;59,0;0,0;0,0;count;month;0,0;1,0;;;;;
耐衝級(彈力)水桶34cm 15L;日用生活;99,0;好室喵;規格：1PC個x1x1PC個;耐衝級(彈力)水桶34cm 15L;109,0;1;1,0;999,0;9427;9.17%;0;31521004001;unique_master_match;1;1;pc;1;pc;99,0;109,0;9,174311926605505;count;month;9,17;0,0;;;;;
晶漾臉盆 330mm;日用生活;29,0;好室喵;規格：1PC個x1x1PC個;晶漾臉盆 330mm;0,0;1;1,0;999,0;9428;0.00%;1;31523019001;unique_master_match;1;1;pc;1;pc;29,0;0,0;0,0;count;month;0,0;1,0;;;;;
妙潔防霉耐用絨裡手套M;日用生活;35,0;妙潔;規格：1PC包x1x1Pack包;妙潔防霉耐用絨裡手套M;49,0;1;1,0;60,0;9430;28.57%;1;31530003001;unique_master_match;1;1;pc;1;pack;35,0;49,0;28,57142857142857;count;month;28,57;1,0;4,0;30,0;30,0;0,5;12,0
妙潔防霉耐用絨裡手套L;日用生活;35,0;妙潔;規格：1PC包x1x1Pack包;妙潔防霉耐用絨裡手套L;49,0;1;1,0;60,0;9431;28.57%;1;31530005001;unique_master_match;1;1;pc;1;pack;35,0;49,0;28,57142857142857;count;month;28,57;1,0;27,0;23,0;6,0;1,0;12,0
【安心價】妙潔蘆薈護手手套 M;日用生活;39,0;妙潔;規格：1Pair雙x1x1Pair雙;妙潔蘆薈護手手套 M;49,0;1;1,0;36,0;9432;20.41%;1;31530008001;unique_master_match;1;1;pair;1;pair;39,0;49,0;20,408163265306122;count;month;20,41;1,0;29,0;7,0;26,0;1,5;12,0
【安心價】妙潔蘆薈護手手套 S;日用生活;39,0;妙潔;規格：1Pair雙x1x1Pair雙;妙潔蘆薈護手手套 S;49,0;1;1,0;36,0;9433;20.41%;1;31530011001;unique_master_match;1;1;pair;1;pair;39,0;49,0;20,408163265306122;count;month;20,41;1,0;30,0;29,0;4,0;1,0;12,0
3M 百利全面抗滑絨裡手套-中型;日用生活;51,0;3M;規格：1Pair雙x1x1Pair雙;3M 百利全面抗滑絨裡手套-中型;55,0;1;1,0;60,0;9435;7.27%;1;31530027001;unique_master_match;1;1;pair;1;pair;51,0;55,0;7,2727272727272725;count;month;7,27;1,0;27,0;23,0;22,0;2,05;20,0
妙潔 低敏防護手套M;日用生活;35,0;妙潔;規格：1Pack包x1x1Pack包;妙潔 低敏防護手套M;49,0;1;1,0;60,0;9436;28.57%;1;31530043001;unique_master_match;1;1;pack;1;pack;35,0;49,0;28,57142857142857;count;month;28,57;1,0;28,0;15,0;7,0;0,46;12,0
楓康舒適.透氣手套(L);日用生活;35,0;楓康;規格：1PC包x1x1PC包;楓康舒適.透氣手套(L);49,0;1;1,0;60,0;9439;28.57%;1;31530081001;unique_master_match;1;1;pc;1;pc;35,0;49,0;28,57142857142857;count;month;28,57;1,0;;;;;
楓康舒適.透氣手套(M);日用生活;35,0;楓康;規格：1PC包x1x1PC包;楓康舒適.透氣手套(M);49,0;1;1,0;60,0;9440;28.57%;1;31530082001;unique_master_match;1;1;pc;1;pc;35,0;49,0;28,57142857142857;count;month;28,57;1,0;;;;;
楓康舒適.透氣手套(S);日用生活;35,0;楓康;規格：1PC包x1x1PC包;楓康舒適.透氣手套(S);49,0;1;1,0;60,0;9441;28.57%;1;31530083001;unique_master_match;1;1;pc;1;pc;35,0;49,0;28,57142857142857;count;month;28,57;1,0;;;;;
OP加長耐用強化手套 M;日用生活;75,0;OP;規格：1PC包x1x1PC包;OP舒適手套耐用強化 M;109,0;1;1,0;120,0;9443;31.19%;1;31530107001;unique_master_match;1;1;pc;1;pc;75,0;109,0;31,19266055045872;count;month;31,19;1,0;41,0;34,0;6,0;1,02;12,0
OP加長耐用強化手套 L;日用生活;75,0;OP;規格：1PC包x1x1PC包;OP舒適手套耐用強化 L;109,0;1;1,0;120,0;9444;31.19%;0;31530108001;unique_master_match;1;1;pc;1;pc;75,0;109,0;31,19266055045872;count;month;31,19;0,0;41,0;34,0;6,0;1,05;12,0
