title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
澳洲NATM精油香皂-清檸羅勒與柑橘;美妝個清;59,0;NATM;規格：200g克x1x1PC塊;澳洲NATM精油香皂-清檸羅勒與柑橘;79,0;1;200,0;36,0;2754;25.32%;0;12010034001;unique_master_match;1;1;g;1;pc;59,0;79,0;25,316456;weight;month;25,32;0,0;15,0;11,0;13,0;1,64;8,0;8,0
麗仕持久香氛皂媚惑幽香;美妝個清;109,0;Lux麗仕;規格：80g克x6x1SET組;麗仕持久香氛皂-媚惑幽香;0,0;1;80,0;36,0;2756;0.00%;0;12010036001;unique_master_match;1;1;g;6;set;18,166667;0,0;0,0;weight;month;0,0;0,0;36,0;23,0;25,0;12,14;144,0;642,0
麗仕柔膚香氛皂水嫩柔膚;美妝個清;109,0;Lux麗仕;規格：80g克x6x1SET組;麗仕柔膚香氛皂-水嫩柔膚;0,0;1;80,0;36,0;2757;0.00%;1;12010037001;unique_master_match;1;1;g;6;set;18,166667;0,0;0,0;weight;month;0,0;1,0;36,0;23,0;25,0;12,14;144,0;2170,0
日本牛乳石鹼牛乳香皂3入裝(茉莉清爽);美妝個清;102,0;牛乳石鹼;規格：85g克x3x1SET組;櫻桃牛乳香皂;110,0;1;85,0;60,0;2759;7.27%;0;12010040001;unique_master_match;1;1;g;3;set;34,0;36,666667;7,272727;weight;month;7,27;0,0;38,0;30,0;23,0;15,0;24,0;152,0
美國Ivory香皂-90gx3;美妝個清;110,0;Ivory;規格：90g克x3x1Set組;美國Ivory蘆薈香皂3入;0,0;1;90,0;36,0;2760;0.00%;0;12010041001;unique_master_match;1;1;g;3;set;36,666667;0,0;0,0;weight;month;0,0;0,0;33,0;18,0;17,0;6,99;24,0;149,0
美國Ivory香皂-90gx3;美妝個清;110,0;Ivory;規格：90g克x3x1Set組;美國Ivory香皂3入;0,0;1;90,0;36,0;2761;0.00%;1;12010042001;unique_master_match;1;1;g;3;set;36,666667;0,0;0,0;weight;month;0,0;1,0;18,0;33,0;17,0;6,99;24,0;131,0
美國Ivory原味香皂113gx10;美妝個清;299,0;Ivory;規格：113g克x10x1Set組;美國Ivory原味香皂(10入);339,0;1;113,0;36,0;2763;11.80%;1;12010049001;unique_master_match;1;1;g;10;set;29,9;33,9;11,79941;weight;month;11,8;1,0;31,0;22,0;20,0;9,75;8,0;872,0
美國Ivory蘆薈香皂113gx10;美妝個清;299,0;Ivory;規格：113g克x10x1Set組;美國Ivory蘆薈香皂(10入);339,0;1;113,0;36,0;2764;11.80%;1;12010051001;unique_master_match;1;1;g;10;set;29,9;33,9;11,79941;weight;month;11,8;1,0;31,0;22,0;20,0;9,75;8,0;475,0
沙威隆經典抗菌皂;美妝個清;99,0;沙威隆;規格：100g克x3x1Pc個;沙威隆經典抗菌皂 沙威隆抗菌皂;159,0;1;100,0;60,0;2765;37.74%;0;12010052001;unique_master_match;1;1;g;3;pc;33,0;53,0;37,735849;weight;month;37,74;0,0;38,0;31,0;13,0;8,15;24,0;48,0
家樂福巴黎美妝馬賽香皂-橄欖檸檬100gx2;美妝個清;69,0;家樂福自有品牌;規格：100g克x2x1Set組;巴黎美妝馬賽香皂-橄欖檸檬;0,0;1;100,0;30,0;2766;0.00%;1;12010053001;unique_master_match;1;1;g;2;set;34,5;0,0;0,0;weight;month;0,0;1,0;25,0;14,0;10,0;2,3;12,0;196,0
澳洲NATM精油香皂-卡卡度果與粉紅百合;美妝個清;59,0;NATM;規格：200g克x1x1PC塊;澳洲NATM精油香皂-卡卡度果與粉紅百合;79,0;1;200,0;36,0;2768;25.32%;1;12010055001;unique_master_match;1;1;g;1;pc;59,0;79,0;25,316456;weight;month;25,32;1,0;15,0;11,0;13,0;1,64;8,0;16,0
彎彎全效控油皂-白麝香-100g;美妝個清;149,0;美琪;規格：100g克x1x3PC個;彎彎全效控油皂-白麝香;0,0;1;100,0;60,0;2770;0.00%;1;12010058001;unique_master_match;1;1;g;3;pc;49,666667;0,0;0,0;weight;month;0,0;1,0;39,0;34,0;13,0;8,52;72,0;144,0
美琪樂皂;美妝個清;129,0;美琪;規格：100g克x1x6PC個;美琪藥皂;161,0;1;100,0;60,0;2771;19.88%;1;12010059001;unique_master_match;1;1;g;6;pc;21,5;26,833333;19,875776;weight;month;19,88;1,0;39,0;31,0;25,0;16,51;144,0;812,0
彎彎浴皂;美妝個清;149,0;美琪;規格：135g克x1x6PC個;彎彎浴皂;161,0;1;135,0;60,0;2772;7.45%;1;12010060001;unique_master_match;1;1;g;6;pc;24,833333;26,833333;7,453416;weight;month;7,45;1,0;43,0;26,0;20,0;10,94;72,0;264,0
澳洲NATM精油香皂-羊奶;美妝個清;59,0;NATM;規格：200g克x1x1PC塊;澳洲NATM精油香皂-羊奶;79,0;1;200,0;36,0;2774;25.32%;1;12010065001;unique_master_match;1;1;g;1;pc;59,0;79,0;25,316456;weight;month;25,32;1,0;15,0;11,0;13,0;1,64;8,0;16,0
澳洲NATM精油香皂-活性碳200g;美妝個清;59,0;NATM;規格：200g克x1x1PC塊;澳洲NATM精油香皂-活性碳;79,0;1;200,0;36,0;2775;25.32%;1;12010067001;unique_master_match;1;1;g;1;pc;59,0;79,0;25,316456;weight;month;25,32;1,0;15,0;11,0;13,0;1,64;8,0;16,0
澳洲NATM精油香皂-玫瑰洋甘菊;美妝個清;59,0;NATM;規格：200g克x1x1PC塊;澳洲NATM精油香皂-玫瑰洋甘菊;79,0;1;200,0;36,0;2776;25.32%;1;12010068001;unique_master_match;1;1;g;1;pc;59,0;79,0;25,316456;weight;month;25,32;1,0;15,0;11,0;13,0;1,64;8,0;11,0
