item_code;minimum_inventory;minimum_inventory_ceiling
11050033001;16;16
11050035001;19;19
11050037001;14;14
11050038001;18;18
11050039001;24;24
11050046001;22;22
11050047001;23;23
11050049001;23;23
11050052001;12;12
11050053001;10;10
11050055001;4;4
11050059001;21;21
11050061001;14;14
11050062001;4;4
11050063001;17;17
11050064001;22;22
11050068001;10;10
11050074001;11;11
11050076001;21;21
11050077001;47;47
11050078001;9;9
11050087001;21;21
11050097001;4;4
11050098001;56;56
11050101001;16;16
11050102001;30;30
11050103001;9;9
11050104001;4;4
11050111001;12;12
11050123001;24;24
11050129001;9;9
11050129002;4;4
11050131001;27;27
11050140002;4;4
11051002001;21;21
11051003001;16;16
11051004001;11;11
11051006001;19;19
11051007001;15;15
11051009001;20;20
11051012001;31;31
11051013001;12;12
11051016001;8;8
11051019001;57;57
11051030001;4;4
11051032001;4;4
11051037001;59;59
11051039001;4;4
11051044001;12;12
11051056001;4;4
11051999001;12;12
11061001001;4;4
11061005001;4;4
11061008001;24;24
11061011001;9;9
11061015001;10;10
11061016001;12;12
11061023001;13;13
11061024001;8;8
11061027001;4;4
11061028001;4;4
11061030001;22;22
11061031001;4;4
11061049001;42;42
11061050001;8;8
11061051001;4;4
11061052001;4;4
11061053001;30;30
11061054001;9;9
11061055002;4;4
11061070001;20;20
11061071001;18;18
11062004001;4;4
11062015001;39;39
11062019001;9;9
11062023001;20;20
11062025001;13;13
11070001001;67;67
11070003001;28;28
11070004001;657;657
11070006001;16;16
11070007001;658;658
11070011001;34;34
11070012001;83;83
11070013001;64;64
11070014001;20;20
11070015001;64;64
11070016001;12;12
11070018001;11;11
11070019001;24;24
11070027001;32;32
11070029001;23;23
11070030001;10;10
11070034001;4;4
11070037001;8;8
11070040001;24;24
11070042001;24;24
11070045001;53;53
11070046001;24;24
11070050001;32;32
11070051001;4;4
11070054001;4;4
11070062001;14;14
11070063001;14;14
11071001001;30;30
11071002001;14;14
11071004001;30;30
11071005001;147;147
11071008001;83;83
11071009001;47;47
11071011001;4;4
11071012001;4;4
11071013001;14;14
11071014001;20;20
11071018001;24;24
11071032001;9;9
11071033001;10;10
11071034001;20;20
11071035001;32;32
11071898001;27;27
11071902001;20;20
11071909001;4;4
11071911001;4;4
11071916001;19;19
