item_code;pre_t_order_count;sku_status
12011061001;2;historical
12011062001;6;historical
12011065001;17;historical
12011068001;9;historical
12011069001;15;historical
12011074001;3;historical
12011075001;42;historical
12011084001;10;historical
12011088001;2;historical
12011096001;2;historical
12011100001;3;historical
12011102001;10;historical
12011103001;2;historical
12011109001;19;historical
12011111001;2;historical
12011117001;5;historical
12011120001;4;historical
12011131001;1;new
12011133001;2;historical
12011136001;14;historical
12011139001;4;historical
12011142001;1;new
12011144001;4;historical
12011150001;8;historical
12011152001;3;historical
12011153001;4;historical
12011154001;2;historical
12011158002;5;historical
12011159001;19;historical
12011168001;33;historical
12011169001;7;historical
12011171001;4;historical
12011172001;11;historical
12011173001;1;new
12011174001;1;new
12011178001;1;new
12011179001;3;historical
12011182001;1;new
12011184001;4;historical
12011186001;3;historical
12011189001;9;historical
12011199001;16;historical
12011210001;9;historical
12011213001;2;historical
12011215001;10;historical
12011220001;3;historical
12011221001;5;historical
12011226001;2;historical
12011230001;10;historical
12011237001;18;historical
12011240001;3;historical
12011243001;5;historical
12011244001;11;historical
12011251001;6;historical
12011252001;15;historical
12011254001;18;historical
12011262001;6;historical
12011263001;5;historical
12011264001;3;historical
12011267001;4;historical
12011268001;14;historical
12011275001;11;historical
12011276001;4;historical
12011277001;33;historical
12011291001;4;historical
12011304001;5;historical
12011308001;6;historical
12011310001;3;historical
12011329001;4;historical
12011333001;17;historical
12011334001;26;historical
12011338001;3;historical
12011341001;1;new
12011342001;1;new
12011345001;1;new
12011347001;5;historical
12011349001;8;historical
12011351001;4;historical
12011354001;14;historical
12011355001;3;historical
12011357001;1;new
12011358001;1;new
12011360001;4;historical
12011362001;1;new
12011365001;17;historical
12011367001;13;historical
12011373001;3;historical
12011374001;5;historical
12011376001;4;historical
12011386001;1;new
12011400001;18;historical
12011403001;6;historical
12011409001;11;historical
12011417001;2;historical
12011433001;1;new
12011439001;4;historical
12011466001;2;historical
12011473001;13;historical
12011477001;5;historical
12011489001;2;historical
12011999001;2;historical
12012003001;1;new
12012012001;1;new
12012014001;2;historical
12012022001;4;historical
12012045001;3;historical
12012072001;2;historical
12012098001;3;historical
12012118001;1;new
12012165001;1;new
12012168001;4;historical
12012169001;2;historical
12012170001;1;new
12012171001;1;new
12012196001;4;historical
12012928001;2;historical
12012969001;3;historical
12012984001;2;historical
12014004001;3;historical
12014022001;1;new
12014025001;1;new
12014032001;1;new
12014035001;7;historical
12016005001;2;historical
12016077001;3;historical
12016078001;2;historical
12016079001;3;historical
12016099001;2;historical
12016106001;1;new
12017009001;3;historical
12017016001;4;historical
12017017001;1;new
12017018001;2;historical
12017039001;1;new
12017040001;3;historical
12020003001;4;historical
12020005001;1;new
12020020001;4;historical
12020021001;1;new
12020026001;2;historical
12020028001;14;historical
12020032003;2;historical
12020035001;7;historical
12020036001;12;historical
12020046001;2;historical
12020050001;1;new
12020051001;1;new
12020057001;4;historical
12020068001;12;historical
12020070001;1;new
12020078001;3;historical
12020089001;3;historical
12020090001;4;historical
12020093001;11;historical
12020138001;1;new
12020141001;6;historical
12020148001;1;new
12020163001;5;historical
12020164001;2;historical
