item_code;minimum_inventory;minimum_inventory_ceiling;inventory_basis_source;paired_historical_product;pre_t_order_count;daily_observation_count;lead_time_sample_size;percentile_position;percentile_rank;percentile_weight
14001150001;5,0;5;full_horizon_lead_time_percentile_n_plus_one;;5;5;5;5,4;5;0,0
14001635001;5,800000000000001;6;full_horizon_lead_time_percentile_n_plus_one;;44;21;21;19,8;19;0,8000000000000007
14002002001;27,6;28;full_horizon_lead_time_percentile_n_plus_one;;205;21;21;19,8;19;0,8000000000000007
14002003001;5,0;5;full_horizon_lead_time_percentile_n_plus_one;;18;18;18;17,1;17;0,10000000000000142
14002008001;12,0;12;full_horizon_lead_time_percentile_n_plus_one;;3;10;10;9,9;9;0,9000000000000004
14002013001;7,400000000000002;8;full_horizon_lead_time_percentile_n_plus_one;;35;21;21;19,8;19;0,8000000000000007
14002021001;4,100000000000001;5;full_horizon_lead_time_percentile_n_plus_one;;21;18;18;17,1;17;0,10000000000000142
14002022001;5,0;5;full_horizon_lead_time_percentile_n_plus_one;;4;7;7;7,2;7;0,0
14002024001;1,5;2;full_horizon_lead_time_percentile_n_plus_one;;3;14;14;13,5;13;0,5
14002026001;2,599999999999998;3;full_horizon_lead_time_percentile_n_plus_one;;9;17;17;16,2;16;0,1999999999999993
14002027001;3,0;3;full_horizon_lead_time_percentile_n_plus_one;;21;20;20;18,900000000000002;18;0,9000000000000021
14002032001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;0;1;1;1,8;1;0,0
14002040001;4,800000000000001;5;full_horizon_lead_time_percentile_n_plus_one;;13;21;21;19,8;19;0,8000000000000007
14002046001;3,0;3;full_horizon_lead_time_percentile_n_plus_one;;11;20;20;18,900000000000002;18;0,9000000000000021
14002052001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;0;2;2;2,7;2;0,0
14003005001;1,700000000000001;2;full_horizon_lead_time_percentile_n_plus_one;;3;12;12;11,700000000000001;11;0,7000000000000011
14003009001;16,0;16;full_horizon_lead_time_percentile_n_plus_one;;111;20;20;18,900000000000002;18;0,9000000000000021
14003011001;5,900000000000002;6;full_horizon_lead_time_percentile_n_plus_one;;33;20;20;18,900000000000002;18;0,9000000000000021
14003013001;8,0;8;full_horizon_lead_time_percentile_n_plus_one;;61;20;20;18,900000000000002;18;0,9000000000000021
14003019001;20,800000000000004;21;full_horizon_lead_time_percentile_n_plus_one;;115;20;20;18,900000000000002;18;0,9000000000000021
14003029001;40,000000000000014;41;full_horizon_lead_time_percentile_n_plus_one;;191;21;21;19,8;19;0,8000000000000007
14003037001;16,0;16;full_horizon_lead_time_percentile_n_plus_one;;132;21;21;19,8;19;0,8000000000000007
14003041001;31,6;32;full_horizon_lead_time_percentile_n_plus_one;;198;21;21;19,8;19;0,8000000000000007
14010002001;25,400000000000002;26;full_horizon_lead_time_percentile_n_plus_one;;106;21;21;19,8;19;0,8000000000000007
14010006001;51,000000000000014;52;full_horizon_lead_time_percentile_n_plus_one;;8;18;18;17,1;17;0,10000000000000142
14010011001;47,6;48;full_horizon_lead_time_percentile_n_plus_one;;324;21;21;19,8;19;0,8000000000000007
14010012001;7,900000000000002;8;full_horizon_lead_time_percentile_n_plus_one;;37;20;20;18,900000000000002;18;0,9000000000000021
14010019001;9,900000000000002;10;full_horizon_lead_time_percentile_n_plus_one;;65;20;20;18,900000000000002;18;0,9000000000000021
14010023001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;4;18;18;17,1;17;0,10000000000000142
14010025001;9,0;9;full_horizon_lead_time_percentile_n_plus_one;;43;19;19;18,0;18;0,0
14010027001;40,800000000000004;41;full_horizon_lead_time_percentile_n_plus_one;;92;21;21;19,8;19;0,8000000000000007
14010029001;5,900000000000002;6;full_horizon_lead_time_percentile_n_plus_one;;30;20;20;18,900000000000002;18;0,9000000000000021
14010030001;10,600000000000001;11;full_horizon_lead_time_percentile_n_plus_one;;43;21;21;19,8;19;0,8000000000000007
14010031001;25,200000000000003;26;full_horizon_lead_time_percentile_n_plus_one;;177;21;21;19,8;19;0,8000000000000007
14010034001;26,0;26;full_horizon_lead_time_percentile_n_plus_one;;205;21;21;19,8;19;0,8000000000000007
14010036001;18,400000000000002;19;full_horizon_lead_time_percentile_n_plus_one;;133;21;21;19,8;19;0,8000000000000007
14010038001;30,0;30;full_horizon_lead_time_percentile_n_plus_one;;10;20;20;18,900000000000002;18;0,9000000000000021
14010040001;146,6;147;full_horizon_lead_time_percentile_n_plus_one;;703;21;21;19,8;19;0,8000000000000007
14010041001;8,0;8;full_horizon_lead_time_percentile_n_plus_one;;41;20;20;18,900000000000002;18;0,9000000000000021
14010047001;3,0;3;full_horizon_lead_time_percentile_n_plus_one;;14;20;20;18,900000000000002;18;0,9000000000000021
14010048001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;12;20;20;18,900000000000002;18;0,9000000000000021
14010049001;8,0;8;full_horizon_lead_time_percentile_n_plus_one;;59;21;21;19,8;19;0,8000000000000007
14010050001;75,0;75;full_horizon_lead_time_percentile_n_plus_one;;14;21;21;19,8;19;0,8000000000000007
14010060001;15,8;16;full_horizon_lead_time_percentile_n_plus_one;;112;21;21;19,8;19;0,8000000000000007
