scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;bootstrap_arrival_mode;bootstrap_target_orders_per_hour;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
Scenario 4 (Sij) Fallback Random;final;;;27;100;bootstrap_actual;68;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13569;7884;0.5810302896307761;4.730397634843217;53;5685;0;64;17703;20426;180758;1.1538157374456306;10.210585776422075;1752;1571;healthy;0;0;0;0;0;0;100000;0;341632;163895921.960443;20385615.89063913;143510306.06980386;20788.422369411845;2585.6945574123706;7025.864391941832;9258.087440571824;8106.552904581363;7873.4380235672
Scenario 4 (Sij) Fallback Random;final;;;28;100;bootstrap_actual;69;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;14045;8135;0.5792096831612673;4.880997559544593;72;5910;0;32;17945;20749;188651;1.1562552242964614;10.51273335190861;1733;1544;healthy;0;0;0;0;0;0;100000;0;349365;166268618.02126777;20612947.839119107;145655670.18214867;20438.67461847176;2533.859599154162;7019.888678112134;9265.45656290152;8116.782958046735;8196.792442560196
Scenario 4 (Sij) Fallback Random;final;;;29;100;bootstrap_actual;70;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13784;1075;0.07798897272199652;0.6449996775058927;12;12709;0;42;2430;2755;23120;1.1337448559670782;9.51440329218107;62;59;healthy;0;0;0;0;0;0;100000;0;1246288;27674398.886749007;2619707.80344;25054691.083309006;25743.626871394426;2436.9374915720928;9094.261736228314;11388.641517180662;10310.57246226708;10564.864726781845
Scenario 4 (Sij) Fallback Random;final;;;30;100;bootstrap_actual;71;empirical_gap_scaled;500.0;shuffle;44;100000.0499991114;666667;0;13615;7862;0.5774513404333456;4.7171976414430965;74;5753;0;40;17819;20745;184150;1.16420674560862;10.334474437398283;1867;1649;healthy;0;0;0;0;0;0;100000;0;346063;166230925.4491959;20592912.303599108;145638013.14559677;21143.59265443855;2619.2969096411994;7020.3910892068825;9328.858266412026;8173.1866628653;8501.372534513474
Scenario 4 (Sij) Fallback Random;final;;;31;100;bootstrap_actual;72;empirical_gap_scaled;500.0;shuffle;45;100000.0499991114;666667;0;13858;8257;0.5958291239717131;4.954197522945261;68;5601;0;43;17778;20499;192998;1.1530543368207897;10.8560017999775;1785;1585;healthy;0;0;0;0;0;0;100000;0;345329;166167805.07523942;20481215.42375912;145686589.6514803;20124.476816669423;2480.466927910757;7107.009593223098;9346.822200204715;8194.76823329285;7901.451815605164
Scenario 4 (Sij) Fallback Random;final;;;32;100;bootstrap_actual;73;empirical_gap_scaled;500.0;shuffle;45;100000.0499991114;666667;0;13960;8053;0.576862464183381;4.831797584144144;59;5907;0;28;17753;20601;188265;1.160423590379091;10.60468653185377;1756;1569;healthy;0;0;0;0;0;0;100000;0;340652;165535612.36361235;20436984.640799124;145098627.72281322;20555.7695720368;2537.810088265134;7043.280798156071;9324.374041773917;8173.189191844377;8736.854992628098
Scenario 4 (Sij) Fallback Random;final;;;33;100;bootstrap_actual;74;empirical_gap_scaled;500.0;shuffle;45;100000.0499991114;666667;0;13687;8027;0.5864689121063783;4.816197591944;55;5660;0;52;17730;20569;186241;1.1601240834743374;10.50428652002256;1822;1627;healthy;0;0;0;0;0;0;100000;0;342620;165073686.03791574;20474520.50279912;144599165.5351166;20564.80453941893;2550.7064286531854;7029.956027765891;9310.416584202805;8155.621293576797;7812.7809591293335
Scenario 4 (Sij) Fallback Random;final;;;34;100;bootstrap_actual;75;empirical_gap_scaled;500.0;shuffle;45;100000.0499991114;666667;0;13892;3873;0.27879355024474517;2.3237988381212302;45;10019;0;53;8799;10284;90161;1.1687691783157177;10.246732583248097;608;559;healthy;0;0;0;0;0;0;100000;0;166935;79995401.15632929;9891844.173120188;70103556.9832091;20654.634948703664;2554.0522006507067;6816.759722210142;9091.419610902294;7967.218659303228;8929.57248711586
Scenario 4 (Sij) Fallback Random;final;;;35;100;bootstrap_actual;76;empirical_gap_scaled;500.0;shuffle;45;100000.0499991114;666667;0;13811;8083;0.5852581275794656;4.849797575144308;63;5728;0;60;17900;20829;190958;1.1636312849162012;10.66804469273743;1811;1640;healthy;0;0;0;0;0;0;100000;0;345301;166741808.33434224;20669042.4158391;146072765.91850314;20628.70324561948;2557.1003854805267;7012.951457991413;9315.18482314761;8160.489716117494;8239.477278470993
Scenario 4 (Sij) Fallback Random;final;;;36;100;bootstrap_actual;77;empirical_gap_scaled;500.0;shuffle;45;100000.0499991114;666667;0;14046;8137;0.579310835825146;4.882197558944604;70;5909;0;55;17933;20759;189409;1.1575865722411198;10.56203646907935;1802;1599;healthy;0;0;0;0;0;0;100000;0;345428;166986638.7769775;20660230.7183991;146326408.0585784;20521.892439102558;2539.047648813949;7048.817768610164;9311.695688227152;8159.616799117738;8166.050692796707
Scenario 4 (Sij) Fallback Random;final;;;37;100;bootstrap_actual;78;empirical_gap_scaled;500.0;shuffle;45;100000.0499991114;666667;0;13450;7956;0.5915241635687732;4.773597613243611;72;5494;0;25;17804;20697;183217;1.1624915749269826;10.29077735340373;1859;1665;healthy;0;0;0;0;0;0;100000;0;344273;166528526.39944625;20593552.259279113;145934974.14016715;20931.18733024714;2588.4303996077315;7051.020637781667;9353.433295857461;8196.752086057468;8402.760111570358
Scenario 4 (Sij) Fallback Random;final;;;38;100;bootstrap_actual;79;empirical_gap_scaled;500.0;shuffle;45;100000.0499991114;666667;0;14048;8112;0.5774487471526196;4.867197566444466;36;5936;0;58;17922;20858;187034;1.163821002120299;10.436000446378753;1842;1615;healthy;0;0;0;0;0;0;100000;0;345405;167291133.2883901;20665522.659599103;146625610.628791;20622.67422194158;2547.524982692197;7029.70613811444;9334.400920008375;8181.3196422715655;7470.501804590225
Scenario 4 (Sij) Fallback Random;final;;;39;100;bootstrap_actual;80;empirical_gap_scaled;500.0;shuffle;45;100000.0499991114;666667;0;14044;7867;0.5601680432925092;4.720197639943124;51;6177;0;35;17654;20549;181561;1.1639854990370455;10.284411464823837;1813;1609;healthy;0;0;0;0;0;0;100000;0;340684;165125291.1122571;20375868.873359133;144749422.23889795;20989.61371707857;2590.043075296699;7044.110284631755;9353.420817506349;8199.242224929078;8315.888526678085
Scenario 4 (Sij) Fallback Random;final;;;40;100;bootstrap_actual;81;empirical_gap_scaled;500.0;shuffle;45;100000.0499991114;666667;0;14226;8151;0.5729649936735555;4.89059755474468;69;6075;0;62;17927;20808;189128;1.160707312991577;10.549896803703911;1781;1587;healthy;0;0;0;0;0;0;100000;0;344745;166985540.04531232;20642730.391919106;146342809.6533932;20486.50963627927;2532.5396137797948;7033.006999874721;9314.750936872444;8163.26265707554;7709.382767438889
Scenario 4 (Sij) Fallback Random;final;;;41;100;bootstrap_actual;82;empirical_gap_scaled;500.0;shuffle;46;100000.0499991114;666667;0;14035;7930;0.565016031350196;4.757997621043469;61;6105;0;60;17502;20250;184601;1.1570106273568734;10.547423151639812;1751;1552;healthy;0;0;0;0;0;0;100000;0;362025;163873314.07903853;20154394.980719157;143718919.09831938;20664.982859903976;2541.5378285900574;7097.230572756513;9363.119305167325;8211.571197481395;8262.049907922745
Scenario 4 (Sij) Fallback Random;final;;;42;100;bootstrap_actual;83;empirical_gap_scaled;500.0;shuffle;46;100000.0499991114;666667;0;13921;3290;0.23633359672437326;1.9739990130180345;57;10631;0;30;7476;8706;77552;1.1645264847512038;10.373461744248262;452;412;healthy;0;0;0;0;0;0;100000;0;144503;68539034.68599832;8336234.983440101;60202799.70255822;20832.533339209214;2533.810025361733;6915.093005118105;9167.87515864076;8052.808948977825;9982.135993480682
Scenario 4 (Sij) Fallback Random;final;;;43;100;bootstrap_actual;84;empirical_gap_scaled;500.0;shuffle;46;100000.0499991114;666667;0;13326;7783;0.5840462254239832;4.669797665142664;56;5543;0;28;17564;20389;181138;1.1608403552721476;10.313026645411068;1761;1574;healthy;0;0;0;0;0;0;100000;0;341751;164463924.558653;20242733.47823914;144221191.08041385;21131.17365522973;2600.890849060663;7073.480360999257;9363.694178925814;8211.181455272936;7551.216234445572
Scenario 4 (Sij) Fallback Random;final;;;44;100;bootstrap_actual;85;empirical_gap_scaled;500.0;shuffle;46;100000.0499991114;666667;0;14207;6191;0.4357710987541353;3.7145981427339363;44;8016;0;27;14212;16402;142877;1.1540951308753167;10.0532648466085;1301;1179;healthy;0;0;0;0;0;0;100000;0;466237;132620275.01735383;16272793.031039584;116347481.98631425;21421.46260981325;2628.4595430527515;7093.49359750727;9331.570153205308;8186.566421778374;8810.759343147278
Scenario 4 (Sij) Fallback Random;final;;;45;100;bootstrap_actual;86;empirical_gap_scaled;500.0;shuffle;46;100000.0499991114;666667;0;13488;8060;0.5975682087781732;4.835997582044182;43;5428;0;41;17813;20621;186818;1.1576376803458148;10.487733677651153;1757;1556;healthy;0;0;0;0;0;0;100000;0;347148;166546609.6186608;20487713.43527912;146058896.18338168;20663.351069312754;2541.8999299353745;7083.017127364418;9349.722653043329;8199.567517171823;7934.536052703857
Scenario 4 (Sij) Fallback Random;final;;;46;100;bootstrap_actual;87;empirical_gap_scaled;500.0;shuffle;46;100000.0499991114;666667;0;13382;7905;0.5907188761022268;4.742997628543332;56;5477;0;65;17800;20674;182857;1.1614606741573035;10.272865168539326;1736;1542;healthy;0;0;0;0;0;0;100000;0;346731;166309450.37082404;20458644.679199122;145850805.6916249;21038.513645898045;2588.063843035942;7054.793735688541;9343.2275489227;8193.865488293533;8209.539462327957
Scenario 4 (Sij) Fallback Random;final;;;47;100;bootstrap_actual;88;empirical_gap_scaled;500.0;shuffle;46;100000.0499991114;666667;0;14391;7873;0.547078034882913;4.723797638143156;65;6518;0;48;17546;20410;184172;1.163228086173487;10.496523424142255;1813;1614;healthy;0;0;0;0;0;0;100000;0;340929;164809339.64841628;20267642.522399142;144541697.12601715;20933.486555114476;2574.3226879714393;7081.905787653952;9392.986415617022;8237.871715833646;8020.322690010071
Scenario 4 (Sij) Fallback Random;final;;;48;100;bootstrap_actual;89;empirical_gap_scaled;500.0;shuffle;46;100000.0499991114;666667;0;13990;7981;0.5704789135096497;4.788597605743749;73;6009;0;43;17558;20347;183663;1.1588449709534117;10.460359949880397;1712;1519;healthy;0;0;0;0;0;0;100000;0;341917;164462916.17400658;20178664.069199152;144284252.10480744;20606.8056852533;2528.3378109509026;7091.180621458074;9366.83655165774;8217.579001298976;8097.149500370026
Scenario 4 (Sij) Fallback Random;final;;;49;100;bootstrap_actual;90;empirical_gap_scaled;500.0;shuffle;46;100000.0499991114;666667;0;13763;7958;0.5782169585119523;4.7747976126436225;41;5805;0;48;17777;20611;182851;1.1594194746020139;10.285818754570512;1778;1569;healthy;0;0;0;0;0;0;100000;0;344926;166417737.96980193;20462459.799599122;145955278.17020282;20912.005273913288;2571.30683583804;7081.42633400625;9361.407322371713;8210.34359960639;7782.652869224548
Scenario 4 (Sij) Fallback Random;final;;;50;100;bootstrap_actual;91;empirical_gap_scaled;500.0;shuffle;46;100000.0499991114;666667;0;13875;7765;0.5596396396396396;4.658997670542565;52;6110;0;18;17112;19867;179357;1.1609981299672745;10.481358111266948;1708;1506;healthy;0;0;0;0;0;0;100000;0;335540;160366567.03482318;19691731.637759205;140674835.39706397;20652.48770570807;2535.9602881853452;7080.82928459576;9371.585263839597;8220.82955803319;8289.048499584198
Scenario 4 (Sij) Fallback Random;final;;;51;100;bootstrap_actual;92;empirical_gap_scaled;500.0;shuffle;47;100000.0499991114;666667;0;13682;4371;0.3194708375968426;2.62259868872396;44;9311;0;45;9706;11182;100537;1.152070883989285;10.358232021430043;706;648;healthy;0;0;0;0;0;0;100000;0;1198571;91726240.92901821;10944645.107760169;80781595.82125804;20985.184380923864;2503.9224680302377;7224.252890472012;9450.467847621905;8322.851413688239;6945.8651621341705
Scenario 4 (Sij) Fallback Random;final;;;52;100;bootstrap_actual;93;empirical_gap_scaled;500.0;shuffle;47;100000.0499991114;666667;0;13546;8058;0.5948619518677101;4.83479758264417;42;5488;0;25;17806;20628;187897;1.1584859036279906;10.552454228911603;1839;1633;healthy;0;0;0;0;0;0;100000;0;345260;166381663.54863688;20562514.40879911;145819149.13983777;20648.009872007555;2551.8136521220044;7068.991135342145;9344.134760678247;8189.3265831651;8038.5741267204285
Scenario 4 (Sij) Fallback Random;final;;;53;100;bootstrap_actual;94;empirical_gap_scaled;500.0;shuffle;47;100000.0499991114;666667;0;13989;1223;0.08742583458431624;0.7337996331067039;19;12766;0;38;2787;3225;28859;1.1571582346609257;10.35486185862935;111;105;healthy;0;0;0;0;0;0;100000;0;1188844;24527611.501081854;3046804.3787999884;21480807.122281864;20055.28332059023;2491.254602452975;6660.7153867540665;8800.721744198727;7707.501658515201;8347.405123710632
