scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
My Scenario Fallback Random;final;;;26;100;bootstrap_actual;47;shuffle;44;100000.0499991114;666667;0;4863;4856;0.9985605593255192;2.9135985432266187;6;7;0;0;11063;12684;112175;1.146524450872277;10.139654704872097;881;794;healthy;0;0;0;0;0;0;100000;0;214240;99175420.93128142;12548250.973439991;86627169.95784143;20423.27449161479;2584.0714525205913;6829.641277029441;8964.604621827842;7830.350714800816;3534.4559495449066
My Scenario Fallback Random;final;;;27;100;bootstrap_actual;48;shuffle;44;100000.0499991114;666667;0;4276;3697;0.8645930776426567;2.2181988909202652;5;579;0;27;8140;9226;83339;1.1334152334152334;10.238206388206388;537;497;healthy;0;0;0;0;0;0;100000;0;157609;73210661.79394077;9131010.710640144;64079651.08330062;19802.721610478973;2469.8433082607908;6945.55073523744;8993.938795324419;7872.193007776489;3510.8553988933563
My Scenario Fallback Random;final;;;28;100;bootstrap_actual;49;shuffle;44;100000.0499991114;666667;0;4804;4790;0.9970857618651124;2.8739985630262566;14;14;0;0;10762;12410;110846;1.1531313882178034;10.299758409217617;867;775;healthy;0;0;0;0;0;0;100000;0;209148;97065214.92759536;12210625.124880029;84854589.80271533;20264.13672809924;2549.1910490354967;6837.597889018157;9019.254314030419;7884.648745838629;3487.5501339435577
My Scenario Fallback Random;final;;;29;100;bootstrap_actual;50;shuffle;44;100000.0499991114;666667;0;4040;3993;0.9883663366336634;2.395798802121888;8;47;0;36;9082;10431;92325;1.1485355648535565;10.165712398150188;676;617;healthy;0;0;0;0;0;0;100000;0;174190;81068080.93702108;10252828.404000204;70815252.53302087;20302.54969622366;2567.700577009818;6788.92268555468;8926.236614954974;7797.3191514006685;2878.212904214859
My Scenario Fallback Random;final;;;30;100;bootstrap_actual;51;shuffle;44;100000.0499991114;666667;0;5074;5067;0.9986204178163185;3.040198479927775;7;7;0;0;11190;12757;115520;1.1400357462019661;10.323503127792671;915;811;healthy;0;0;0;0;0;0;100000;0;217400;101274825.88730648;12701717.268239971;88573108.6190665;19987.13753449901;2506.7529639313148;6943.098582665713;9050.475950608265;7915.3805736431195;3436.612607240677
My Scenario Fallback Random;final;;;31;100;bootstrap_actual;42;shuffle;45;100000.0499991114;666667;0;4421;4408;0.9970594888034381;2.6447986776241628;13;13;0;0;9958;11365;101765;1.141293432416148;10.219421570596506;722;663;healthy;0;0;0;0;0;0;100000;0;194655;92044769.19246656;11241141.497040136;80803627.69542642;20881.299726058656;2550.1682162069274;7109.866053271132;9243.298774097866;8114.443431956861;3128.480502128601
My Scenario Fallback Random;final;;;32;100;bootstrap_actual;43;shuffle;45;100000.0499991114;666667;0;3842;3774;0.9823008849557522;2.2643988678206877;7;68;0;46;8571;9840;87243;1.1480574028701436;10.178858942947148;586;539;healthy;0;0;0;0;0;0;100000;0;166757;78833272.0446854;9629363.88960017;69203908.15508522;20888.51935471261;2551.5007656598227;7032.91749543549;9197.674955627745;8074.192994409663;2688.8498816490173
My Scenario Fallback Random;final;;;33;100;bootstrap_actual;44;shuffle;45;100000.0499991114;666667;0;4442;4437;0.9988743809095002;2.6621986689243218;5;5;0;0;10080;11616;101856;1.1523809523809523;10.104761904761904;748;688;healthy;0;0;0;0;0;0;100000;0;193500;92819362.24590096;11396724.568320118;81422637.67758083;20919.39649445593;2568.565374874942;7009.524593455651;9208.270064077476;8077.64262674413;3170.66476893425
My Scenario Fallback Random;final;;;34;100;bootstrap_actual;45;shuffle;45;100000.0499991114;666667;0;3790;3762;0.9926121372031662;2.2571988714206217;5;28;0;43;8249;9383;87871;1.1374712086313492;10.652321493514366;564;520;healthy;0;0;0;0;0;0;100000;0;159342;75676011.4191431;9268035.067200148;66407976.35194295;20115.898835497897;2463.5925218501193;7077.478029621971;9173.96186436454;8050.427488415923;2564.9913218021393
My Scenario Fallback Random;final;;;35;100;bootstrap_actual;46;shuffle;45;100000.0499991114;666667;0;3929;3760;0.9569865105624841;2.255998872020611;13;169;0;37;8246;9361;88264;1.135217074945428;10.703856415231627;567;517;healthy;0;0;0;0;0;0;100000;0;159470;75830363.79847966;9262447.76184015;66567916.03663951;20167.649946404166;2463.41695793621;7111.197098241589;9196.01792365749;8072.752369226232;2757.28484249115
