item_code;minimum_inventory;inventory_basis_source;paired_historical_product;pre_t_order_count
10040016001;140;historical_empirical_quantile;;20
10040017001;15;historical_empirical_quantile;;3
10040018001;72;historical_empirical_quantile;;41
10040019001;44;historical_empirical_quantile;;88
10040020001;276;historical_empirical_quantile;;58
10040021001;60;historical_empirical_quantile;;10
10040022001;200;historical_empirical_quantile;;31
10040023001;360;historical_empirical_quantile;;106
10040025001;98;historical_empirical_quantile;;224
10040026001;70;historical_empirical_quantile;;146
10040027001;270;historical_empirical_quantile;;36
10040028001;12;historical_empirical_quantile;;10
10040031001;36;historical_empirical_quantile;;2
10040032001;918;historical_empirical_quantile;;69
10040034001;96;historical_empirical_quantile;;9
10040035001;30;historical_empirical_quantile;;14
10040037001;30;historical_empirical_quantile;;58
10040038001;40;historical_empirical_quantile;;15
10040039001;116;historical_empirical_quantile;;287
10040040001;36;historical_empirical_quantile;;51
10040041001;432;historical_empirical_quantile;;61
10040042001;54;historical_empirical_quantile;;57
10040044001;51;historical_empirical_quantile;;7
10040048001;144;historical_empirical_quantile;;13
10040049001;54;historical_empirical_quantile;;102
10040050001;72;historical_empirical_quantile;;21
10040056001;36;historical_empirical_quantile;;7
10040062001;804;historical_empirical_quantile;;234
10040063001;1104;historical_empirical_quantile;;193
10040066001;448;historical_empirical_quantile;;51
10040078001;53;random_allocation_historical_average_proxy;;1
10040079001;22;historical_empirical_quantile;;58
10040082001;60;historical_empirical_quantile;;8
10040094001;34;historical_empirical_quantile;;77
10040111001;144;historical_empirical_quantile;;31
10041001001;24;historical_empirical_quantile;;4
10041003001;96;historical_empirical_quantile;;34
10041004001;348;historical_empirical_quantile;;46
10041008001;32;historical_empirical_quantile;;7
10041009001;48;historical_empirical_quantile;;6
10041016001;53;random_allocation_historical_average_proxy;;1
10041033001;64;historical_empirical_quantile;;43
10041034001;88;historical_empirical_quantile;;28
10041038001;72;historical_empirical_quantile;;4
10041039001;128;historical_empirical_quantile;;38
10041067001;1944;historical_empirical_quantile;;264
10041085001;204;historical_empirical_quantile;;41
10041087001;53;random_allocation_historical_average_proxy;;1
10051001001;1;historical_empirical_quantile;;3
10051034001;6;historical_empirical_quantile;;7
10052004001;2;historical_empirical_quantile;;2
10052014001;12;historical_empirical_quantile;;4
10052015001;2;historical_empirical_quantile;;4
10052017001;12;historical_empirical_quantile;;20
10052019001;3;historical_empirical_quantile;;10
10052020001;22;historical_empirical_quantile;;55
10052024001;8;historical_empirical_quantile;;7
10052025001;20;historical_empirical_quantile;;62
10052035001;10;historical_empirical_quantile;;27
10052046001;53;random_allocation_historical_average_proxy;;1
10053901001;18;historical_empirical_quantile;;13
10053903001;12;historical_empirical_quantile;;3
10053904001;6;historical_empirical_quantile;;5
10100132001;48;historical_empirical_quantile;;21
10904899001;53;random_allocation_historical_average_proxy;;1
11010001001;8;historical_empirical_quantile;;2
11010007001;22;historical_empirical_quantile;;22
11010012001;1;historical_empirical_quantile;;2
11010013001;4;historical_empirical_quantile;;10
11010016001;4;historical_empirical_quantile;;4
11010018001;2;historical_empirical_quantile;;3
11010019001;7;historical_empirical_quantile;;8
11010020001;5;historical_empirical_quantile;;8
11010022001;6;historical_empirical_quantile;;6
11010023001;6;historical_empirical_quantile;;7
11010025001;3;historical_empirical_quantile;;8
11010027001;3;historical_empirical_quantile;;9
11010035001;5;historical_empirical_quantile;;3
11010038001;53;random_allocation_historical_average_proxy;;1
11010042001;7;historical_empirical_quantile;;24
11010043001;5;historical_empirical_quantile;;10
11010045001;4;historical_empirical_quantile;;3
11010051001;53;random_allocation_historical_average_proxy;;1
11010057001;3;historical_empirical_quantile;;3
11010059001;6;historical_empirical_quantile;;4
11010116001;4;historical_empirical_quantile;;5
11020002001;6;historical_empirical_quantile;;17
11020003001;5;historical_empirical_quantile;;5
11020010001;8;historical_empirical_quantile;;3
11020013001;3;historical_empirical_quantile;;4
11021002001;2;historical_empirical_quantile;;2
11021006001;2;historical_empirical_quantile;;6
11021013001;3;historical_empirical_quantile;;15
11021018001;1;historical_empirical_quantile;;2
11021023001;1;historical_empirical_quantile;;6
11021025001;6;historical_empirical_quantile;;5
11021028001;1;historical_empirical_quantile;;3
11021029001;6;historical_empirical_quantile;;14
11021030001;6;historical_empirical_quantile;;7
11021047001;3;historical_empirical_quantile;;8
11021052001;5;historical_empirical_quantile;;8
11021060001;5;historical_empirical_quantile;;7
11021061001;6;historical_empirical_quantile;;9
11021064001;1;historical_empirical_quantile;;4
