title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;is_new_product;item_role;log_capacity;log_original_price;log_estimation_discount;log_shelf_life;Promo_normalized;log_capacity_normalized;log_original_price_normalized;log_estimation_discount_normalized;log_shelf_life_normalized;cluster;distance_to_new_product;same_cluster_as_new;new_product_first
開喜凍頂烏龍茶微糖TP 250ml;飲料零食;159.0;開喜;規格：250ml毫升x1x24Bottle瓶;開喜凍頂烏龍茶微糖TP 250ml;0.0;1;250.0;12.0;392;0.00%;1;10030013001;unique_master_match;1;1;ml;24;bottle;6.625;0.0;0.0;volume;month;0.0;1.0;35.0;20.0;11.0;6.58;24.0;0;historical;5.5254529391317835;0.0;0.0;2.5649493574615367;0.6587581226451357;-0.7357551675663615;-1.4372472001711705;-1.3634021813521084;-0.2269901202749257;161;2.3611622861611643;1;1
義美錫蘭紅茶TP250ml;飲料零食;60.0;義美;規格：250ml毫升x1x6Bottle瓶;義美錫蘭紅茶TP250ml;0.0;1;250.0;12.0;429;0.00%;1;10031031001;unique_master_match;1;1;ml;6;bottle;10.0;0.0;0.0;volume;month;0.0;1.0;35.0;21.0;12.0;6.66;24.0;0;historical;5.5254529391317835;0.0;0.0;2.5649493574615367;0.6587581226451357;-0.7357551675663615;-1.4372472001711705;-1.3634021813521084;-0.2269901202749257;161;2.3611622861611643;1;1
阿薩姆蘋果奶茶TP250ml;飲料零食;48.0;;規格：250ml毫升x1x6Bottle瓶;阿薩姆蘋果奶茶TP250ml;0.0;1;250.0;12.0;456;0.00%;1;10032046001;unique_master_match;1;1;ml;6;bottle;8.0;0.0;0.0;volume;month;0.0;1.0;41.0;24.0;8.0;6.22;24.0;0;historical;5.5254529391317835;0.0;0.0;2.5649493574615367;0.6587581226451357;-0.7357551675663615;-1.4372472001711705;-1.3634021813521084;-0.2269901202749257;161;2.3611622861611643;1;1
愛之味麥仔茶 TP250ml;飲料零食;159.0;愛之味;規格：250ml毫升x1x24Bottle瓶;愛之味麥仔茶 TP250ml;0.0;1;250.0;12.0;583;0.00%;1;10035035001;unique_master_match;1;1;ml;24;bottle;6.625;0.0;0.0;volume;month;0.0;1.0;35.0;20.0;11.0;6.57;24.0;0;historical;5.5254529391317835;0.0;0.0;2.5649493574615367;0.6587581226451357;-0.7357551675663615;-1.4372472001711705;-1.3634021813521084;-0.2269901202749257;161;2.3611622861611643;1;1
維大力汽水Can330ml;飲料零食;82.0;維大力;規格：330ml毫升x1x6Bottle瓶;維大力汽水Can330ml;84.0;1;330.0;18.0;50;2.38%;1;10002014001;unique_master_match;1;1;ml;6;bottle;13.666666666666666;14.0;2.3809523809523854;volume;month;2.38;1.0;41.0;27.0;13.0;9.53;24.0;0;historical;5.802118375377063;4.442651256490317;1.2181574393178938;2.9444389791664403;0.6587581226451357;-0.44340987798441633;0.43952211291175936;-0.42849628246780475;0.8750759155225646;16;2.5030532432542243;1;1
百家珍蘋果醋600ml;飲料零食;129.0;百家珍;規格：600ml毫升x1x1Bottle瓶;百家珍蘋果醋600ml;0.0;1;600.0;36.0;705;0.00%;0;10052019001;unique_master_match;1;1;ml;1;bottle;129.0;0.0;0.0;volume;month;0.0;0.0;32.0;25.0;27.0;12.34;12.0;0;historical;6.398594934535208;0.0;0.0;3.6109179126442243;-1.5180078478344428;0.18687164464616965;-1.4372472001711705;-1.3634021813521084;2.810580219594314;46;2.503076479339421;1;1
崇德發綜合水果醋;飲料零食;198.0;崇德發;規格：500ml毫升x1x1Bottle瓶;崇德發綜合水果醋;0.0;1;500.0;36.0;704;0.00%;0;10052017001;unique_master_match;1;1;ml;1;bottle;198.0;0.0;0.0;volume;month;0.0;0.0;30.0;23.0;29.0;12.81;12.0;0;historical;6.2166061010848646;0.0;0.0;3.6109179126442243;-1.5180078478344428;-0.005431300520254936;-1.4372472001711705;-1.3634021813521084;2.810580219594314;46;2.546991462916869;1;1
維他露P 330 ml;飲料零食;77.0;維他露;規格：330ml毫升x1x6Bottle瓶;維他露P 330 ml;0.0;1;330.0;18.0;48;0.00%;0;10002012001;unique_master_match;1;1;ml;6;bottle;12.833333333333334;0.0;0.0;volume;month;0.0;0.0;41.0;27.0;13.0;8.78;24.0;0;historical;5.802118375377063;0.0;0.0;2.9444389791664403;-1.5180078478344428;-0.44340987798441633;-1.4372472001711705;-1.3634021813521084;0.8750759155225646;86;2.570461735662477;1;1
維大力白葡萄風味氣水330ml;飲料零食;119.0;維大力;規格：330ml毫升x1x6Can罐;維大力白葡萄風味氣水330ml;0.0;1;330.0;18.0;86;0.00%;0;10002943001;unique_master_match;1;1;ml;6;can;19.83333333333333;0.0;0.0;volume;month;0.0;0.0;44.0;27.0;12.0;8.82;24.0;0;historical;5.802118375377063;0.0;0.0;2.9444389791664403;-1.5180078478344428;-0.44340987798441633;-1.4372472001711705;-1.3634021813521084;0.8750759155225646;86;2.570461735662477;1;1
水事紀麥飯石礦泉水5000ml;飲料零食;98.0;統一;規格：5000ml毫升x1x2BOTTLE瓶;水事紀麥飯石礦泉水5000ml;0.0;1;5000.0;12.0;647;0.00%;1;10040079001;unique_master_match;1;1;ml;2;bottle;49.0;0.0;0.0;volume;month;0.0;1.0;35.0;17.0;32.0;10.4;2.0;0;historical;8.517393171418904;0.0;0.0;2.5649493574615367;0.6587581226451357;2.425751544260113;-1.4372472001711705;-1.3634021813521084;-0.2269901202749257;69;2.58812386828729;1;1
