item_code;item_role;cluster;distance_to_new_product
10033001001;historical;208;4.0451403462874875
10041033001;historical;208;4.055780078914271
10023066001;historical;26;4.059005392055493
10023892001;historical;26;4.059005392055493
10040056001;historical;114;4.066224521987016
10022015001;historical;7;4.078164010735456
10000001001;historical;7;4.08082112280273
10000027001;historical;7;4.08082112280273
10030015001;historical;7;4.08082112280273
10031007001;historical;7;4.08082112280273
10023005001;historical;26;4.081274650965132
10023104001;historical;26;4.081274650965132
10052035001;historical;143;4.086876596937161
10052004001;historical;143;4.111728262712378
10024003001;historical;114;4.127990726748279
10040022001;historical;207;4.137083004456325
10040040001;historical;117;4.156679174279237
10040042001;historical;39;4.162919656580287
10040018001;historical;18;4.199137975045234
10041067001;historical;7;4.215554129119601
10040028001;historical;40;4.227281366984541
10040033001;historical;18;4.243378339991085
10002069001;historical;18;4.261522005483107
10000008001;historical;204;4.263130125580607
10000022001;historical;204;4.263130125580607
10002074001;historical;204;4.263130125580607
10032001001;historical;204;4.263130125580607
10033026001;historical;204;4.263130125580607
10023075001;historical;60;4.278653281186585
10040037001;historical;39;4.290666013486601
10040039001;historical;39;4.290666013486601
10040049001;historical;39;4.314093033767624
10021026001;historical;41;4.317428097125763
10040094001;historical;39;4.325572805923795
10023051001;historical;94;4.3546748496073056
10002035001;historical;161;4.442832794975458
10002919001;historical;161;4.442832794975458
10033015001;historical;50;4.609927705489066
10040079001;historical;73;4.691369220172372
10030020001;historical;123;4.704451134603191
10033034001;historical;123;4.772065682820771
10040025001;historical;73;4.805086880809461
