title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity;is_new_product;item_role;log_capacity;log_price_per_piece;log_estimation_discount;log_shelf_life;Promo_normalized;log_capacity_normalized;log_price_per_piece_normalized;log_estimation_discount_normalized;log_shelf_life_normalized;cluster;distance_to_new_product;same_cluster_as_new;new_product_first
波蜜BCE果菜汁TP250ml;飲料零食;159.0;波蜜;規格：250ml毫升x1x24Bottle瓶;波蜜BCE果菜汁TP250ml;171.0;1;250.0;12.0;105;7.02%;0;10010035001;unique_master_match;1;1;ml;24;bottle;6.625;7.125;7.017544;volume;month;7.02;0.0;34.0;20.0;11.0;6.61;24.0;15275.0;0;historical;5.5254529391317835;2.031432322493475;2.081632140565125;2.5649493574615367;-1.4935759876113537;-0.6512208895093387;-1.6787220398967388;0.25689905993235235;-0.298269996961929;32;1.797477373238721;1;1
紅茶花伝皇家紅茶470ml;飲料零食;78.0;紅茶花伝;規格：470ml毫升x1x4Bottle瓶;紅茶花伝皇家奶茶Pet 470ml;92.0;1;470.0;9.0;454;15.22%;0;10032020001;unique_master_match;1;1;ml;4;bottle;19.5;23.0;15.217391;volume;month;15.22;0.0;41.0;28.0;21.0;12.47;24.0;2110.666667;0;historical;6.154858094016418;3.0204248861443626;2.7860841849479097;2.302585092994046;-1.4935759876113537;-0.00809839979459589;-0.2937721645612001;0.796327915831411;-1.0337925091052724;23;1.8435530938625353;1;1
可口可樂 Zero 330ml;飲料零食;83.0;CocaCola 可口可樂;規格：330ml毫升x1x6Bottle瓶;可口可樂 Zero 330ml;94.0;1;330.0;9.0;8;11.70%;0;10000007001;unique_master_match;1;1;ml;6;bottle;13.833333;15.666667;11.702128;volume;month;11.7;0.0;40.0;28.0;12.0;8.58;24.0;29208.0;0;historical;5.802118375377063;2.6968768780321746;2.541769538483213;2.302585092994046;-1.4935759876113537;-0.368525772071521;-0.7468572432253652;0.6092458124111503;-1.0337925091052724;160;1.8508773186350724;1;1
黑松C&C氣泡飲(葡萄)500ml;飲料零食;85.0;黑松汽水C&C氣泡飲;規格：500ml毫升x1x4BOTTLE瓶;黑松CC氣泡飲葡萄 500ml;107.0;1;500.0;9.0;34;20.56%;0;10001035001;unique_master_match;1;1;ml;4;bottle;21.25;26.75;20.560748;volume;month;20.56;0.0;42.0;28.0;23.0;13.682;24.0;1204.0;0;historical;6.2166061010848646;3.1023420086122493;3.070874439316529;2.302585092994046;-1.4935759876113537;0.054995351078896616;-0.17905835101043024;1.0144039116500703;-1.0337925091052724;23;1.8854743284535969;1;1
味丹竹炭礦泉水700ml;飲料零食;328.0;味丹;規格：700ml毫升x1x24Bottle瓶;味丹竹炭礦泉水700ml;334.0;1;700.0;12.0;624;1.80%;0;10040034001;unique_master_match;1;1;ml;24;bottle;13.666667;13.916667;1.796407;volume;month;1.8;0.0;40.0;28.0;25.0;18.074;24.0;4004.0;0;historical;6.55250788703459;2.685577367977424;1.0283353788709837;2.5649493574615367;-1.4935759876113537;0.3982178226508243;-0.7626806736704941;-0.5496550151298777;-0.298269996961929;137;1.8878078287941942;1;1
泰山純水1500ml;飲料零食;204.0;泰山;規格：1500ml毫升x1x12Bottle瓶;泰山純水1500ml;263.0;1;1500.0;12.0;599;22.43%;0;10040008001;unique_master_match;1;1;ml;12;bottle;17.0;21.916667;22.43346;volume;month;22.43;0.0;37.0;29.0;32.0;20.0;12.0;17952.0;0;historical;7.313886831633462;2.8903717578961645;3.154164915539306;2.5649493574615367;-1.4935759876113537;1.1761903553933644;-0.47589392196798247;1.078182967519666;-0.298269996961929;85;1.9409951939299666;1;1
泰山純水1500ml;飲料零食;204.0;泰山;規格：1500ml毫升x1x12Bottle瓶;統一H2O純水1500ml;263.0;1;1500.0;12.0;649;22.43%;0;10040081001;unique_master_match;1;1;ml;12;bottle;17.0;21.916667;22.43346;volume;month;22.43;0.0;36.0;27.0;30.0;19.09;12.0;1464.0;0;historical;7.313886831633462;2.8903717578961645;3.154164915539306;2.5649493574615367;-1.4935759876113537;1.1761903553933644;-0.47589392196798247;1.078182967519666;-0.298269996961929;85;1.9409951939299666;1;1
原萃包種烏龍茶580ml;飲料零食;78.0;原萃;規格：580ml毫升x1x4Bottle瓶;原萃文山包種烏龍茶580ml;107.0;1;580.0;9.0;388;27.10%;0;10030007001;unique_master_match;1;1;ml;4;bottle;19.5;26.75;27.102804;volume;month;27.1;0.0;38.0;25.0;24.0;14.88;24.0;11012.0;0;historical;6.364750756851911;3.0204248861443626;3.335869357838229;2.302585092994046;-1.4935759876113537;0.20636869004098318;-0.2937721645612001;1.2173217778938528;-1.0337925091052724;23;1.963695428308831;1;1
天地合補含鐵玫瑰四物 120ml*6;飲料零食;296.0;桂格;規格：120ml毫升x6x1BoX盒;天地合補含鐵玫瑰四物120ml x6;309.0;1;120.0;24.0;365;4.21%;0;10023110001;unique_master_match;1;1;ml;6;box;49.333333;51.5;4.20712;volume;month;4.21;0.0;53.0;25.0;12.0;7.25;6.0;160.0;0;historical;4.795790545596741;3.918667541524298;1.6500269198149597;3.2188758248682006;-1.4935759876113537;-1.396785636699068;0.9640947793490495;-0.07359939242619089;1.5349737149444564;132;1.970396771346243;1;1
Red Bull 紅牛無糖能量飲料1入;飲料零食;1313.0;紅牛;規格：250ml毫升x1x24Bottle瓶;紅牛能量飲料1入;1370.0;1;250.0;12.0;298;4.16%;0;10022006001;unique_master_match;1;1;ml;24;bottle;54.708333;57.083333;4.160584;volume;month;4.16;0.0;32.0;22.0;14.0;6.74;24.0;1128.0;0;historical;5.5254529391317835;4.020129740770452;1.641049751383865;2.5649493574615367;-1.4935759876113537;-0.6512208895093387;1.1061788205864251;-0.08047359164899447;-0.298269996961929;66;1.9723327665215378;1;1
